Family,Genus,Mycorrhiza
Cupressaceae,Chamaecyparis,AM
Cupressaceae,Cupressus,AM
Cupressaceae,Juniperus,AM
Cupressaceae,Thuja,AM
Ginkgoaceae,Ginkgo,AM
Pinaceae,Abies,EM
Pinaceae,Cedrus,EM
Pinaceae,Larix,EM
Pinaceae,Picea,EM
Pinaceae,Pinus,EM
Pinaceae,Pseudotsuga,EM
Pinaceae,Tsuga,EM
Taxaceae,Taxus,AM
Altingiaceae,Liquidambar,AM
Anacardiaceae,Pistacia,AM
Anacardiaceae,Rhus,AM
Aquifoliaceae,Ilex,AM
Betulaceae,Alnus,EM-AM
Betulaceae,Betula,EM
Betulaceae,Carpinus,EM
Betulaceae,Corylus,EM
Cannabaceae,Celtis,AM
Cornaceae,Cornus,AM
Elaeocarpaceae,Elaeocarpus,AM
Ericaceae,Arbutus,EM
Ericaceae,Gaultheria,Ericoid
Ericaceae,Rhododendron,Ericoid
Fabaceae,Gleditsia,AM
Fabaceae,Robinia,AM
Fabaceae,Sophora,AM
Fagaceae,Castanea,EM
Fagaceae,Castanopsis,EM
Fagaceae,Fagus,EM
Fagaceae,Lithocarpus,EM
Fagaceae,Quercus,EM
Juglandaceae,Juglans,AM
Magnoliaceae,Liriodendron,AM
Magnoliaceae,Magnolia,AM
Malvaceae,Tilia,EM
Moraceae,Morus,AM
Myricaceae,Myrica,AM
Oleaceae,Fraxinus,AM
Oleaceae,Ligustrum,AM
Oleaceae,Olea,AM
Platanaceae,Platanus,AM
Rhamnaceae,Rhamnus,AM
Rosaceae,Cotoneaster,AM
Rosaceae,Crataegus,AM
Rosaceae,Malus,AM
Rosaceae,Prunus,AM
Rosaceae,Pyrus,AM
Rosaceae,Sorbus,AM
Salicaceae,Populus,EM
Salicaceae,Salix,EM-AM
Sapindaceae,Acer,AM
Sapindaceae,Aesculus,AM
Simaroubaceae,Ailanthus,AM
Styracaceae,Styrax,AM
Ulmaceae,Ulmus,AM
Ulmaceae,Zelkova,AM
